uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,nestedSubplotID,pointID,stemDistance,stemAzimuth,recordType,individualID,supportingStemIndividualID,previouslyTaggedAs,samplingProtocolVersion,taxonID,scientificName,taxonRank,identificationReferences,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,remarks,measuredBy,recordedBy,dataQF
"33ca85f6-f376-4ccb-b0bb-21bd44c594cf","LAJA_041.basePlot.vst","2016-03-17","vst_LAJA_2016","D04","LAJA","LAJA_041","31",,"51",18.2,226.0,,"NEON.PLA.D04.LAJA.04352",,,"NEON.DOC.000987vE","PIDU","Pithecellobium dulce (Roxb.) Benth.","species",,,,,,"kruiz-medina@field-ops.org","adejesus@field-ops.org",
"720861c7-bd57-458e-8ed2-d5f1d20eb416","LAJA_041.basePlot.vst","2016-03-17","vst_LAJA_2016","D04","LAJA","LAJA_041","32",,"51",13.1,199.1,,"NEON.PLA.D04.LAJA.04355",,,"NEON.DOC.000987vE","PIDU","Pithecellobium dulce (Roxb.) Benth.","species",,,,,,"kruiz-medina@field-ops.org","adejesus@field-ops.org",
"36d6843e-f278-474e-80e7-e8b29da60be1","LAJA_015.basePlot.vst","2016-10-31","vst_LAJA_2016","D04","LAJA","LAJA_015","32",,,,,,"NEON.PLA.D04.LAJA.08249",,,"NEON.DOC.000987vE","CAAC3","Casearia aculeata Jacq.","species",,,,,,"wplaza-muniz@neoninc.org","lrivera@field-ops.org",
"7f47ce71-b49e-4217-a153-430ab2758284","LAJA_015.basePlot.vst","2016-10-31","vst_LAJA_2016","D04","LAJA","LAJA_015","41",,,,,,"NEON.PLA.D04.LAJA.05309",,,"NEON.DOC.000987vE","CAAC3","Casearia aculeata Jacq.","species",,,,,,"wplaza-muniz@neoninc.org","lrivera@field-ops.org",
"a0664b88-fa4c-4b4f-9582-3e61c0943502","LAJA_015.basePlot.vst","2016-10-31","vst_LAJA_2016","D04","LAJA","LAJA_015","40",,"49",7.6,123.4,,"NEON.PLA.D04.LAJA.08243",,,"NEON.DOC.000987vE","MAIN3","Mangifera indica L.","species",,,,,,"wplaza-muniz@neoninc.org","lrivera@field-ops.org",
"727ffa18-494c-4535-a63c-f1120977d837","LAJA_015.basePlot.vst","2016-10-31","vst_LAJA_2016","D04","LAJA","LAJA_015","31",,"31",10.1,63.3,,"NEON.PLA.D04.LAJA.08244A",,,"NEON.DOC.000987vE","COCO5","Cordia collococca L.","species",,,,,,"wplaza-muniz@neoninc.org","lrivera@field-ops.org",
"fb3786a3-304b-444a-83d1-208d80ed2e21","LAJA_015.basePlot.vst","2016-10-31","vst_LAJA_2016","D04","LAJA","LAJA_015","40",,,,,,"NEON.PLA.D04.LAJA.05477",,,"NEON.DOC.000987vE","ANIN","Andira inermis (W. Wright) Kunth ex DC.","species",,,,,,"wplaza-muniz@neoninc.org","lrivera@field-ops.org",
"9e6a34fb-f992-4817-8a33-3509e8acb96a","LAJA_002.basePlot.vst","2016-10-31","vst_LAJA_2016","D04","LAJA","LAJA_002","40",,,,,,"NEON.PLA.D04.LAJA.08261A",,,"NEON.DOC.000987vE","MEBI","Melicoccus bijugatus Jacq.","species",,,,,"PointID was taken from 40, stemDist was 3.6, StemAzim was 16.6","wplaza-muniz@neoninc.org","lrivera@field-ops.org",
"5ca7960b-1291-4a0b-bcc7-e4b4aa7aa4a3","LAJA_002.basePlot.vst","2016-10-31","vst_LAJA_2016","D04","LAJA","LAJA_002","31",,,,,,"NEON.PLA.D04.LAJA.08263",,,"NEON.DOC.000987vE","MEBI","Melicoccus bijugatus Jacq.","species",,,,,"PointID was taken from 40, stemDist was 8.9, StemAzim was 175.9","wplaza-muniz@neoninc.org","lrivera@field-ops.org",
"e09737f8-6ad9-4b4e-9e75-5f203b7b4bda","LAJA_015.basePlot.vst","2016-10-31","vst_LAJA_2016","D04","LAJA","LAJA_015","40",,,,,,"NEON.PLA.D04.LAJA.05324",,,"NEON.DOC.000987vE","CAAC3","Casearia aculeata Jacq.","species",,,,,,"wplaza-muniz@neoninc.org","lrivera@field-ops.org",
