uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,nestedSubplotID,pointID,stemDistance,stemAzimuth,recordType,individualID,supportingStemIndividualID,previouslyTaggedAs,samplingProtocolVersion,taxonID,scientificName,taxonRank,identificationReferences,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,remarks,measuredBy,recordedBy,dataQF
"cb035096-53c5-44fd-9e9d-36c12ad29bd6","RMNP_043.basePlot.vst","2017-09-26","vst_RMNP_2017","D10","RMNP","RMNP_043","21",,"21",14.7,78.7,,"NEON.PLA.D10.RMNP.02121",,,"NEON.DOC.000987vE","PICOL","Pinus contorta Douglas ex Loudon var. latifolia Engelm. ex S. Watson","variety",,,,,,"dbradley@battelleecology.org","nleder@battelleecology.org",
"1f822b99-be36-4b56-a539-0c792c1936c4","RMNP_043.basePlot.vst","2017-09-26","vst_RMNP_2017","D10","RMNP","RMNP_043","23",,"25",14.2,277.7,,"NEON.PLA.D10.RMNP.02307",,,"NEON.DOC.000987vE","PICOL","Pinus contorta Douglas ex Loudon var. latifolia Engelm. ex S. Watson","variety",,,,,,"dbradley@battelleecology.org","jmorris@battelleecology.org",
"5230e365-9653-4c2f-acae-2258cd374132","RMNP_043.basePlot.vst","2017-09-26","vst_RMNP_2017","D10","RMNP","RMNP_043","23",,,,,,"NEON.PLA.D10.RMNP.02325",,,"NEON.DOC.000987vE","ABLAL","Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa","variety",,,,,,"dbradley@battelleecology.org","jmorris@battelleecology.org",
"a02e658e-7a55-4e36-b29b-af47b29f53fe","RMNP_043.basePlot.vst","2017-09-26","vst_RMNP_2017","D10","RMNP","RMNP_043","21",,"21",6.0,9.2,,"NEON.PLA.D10.RMNP.02118",,,"NEON.DOC.000987vE","PICOL","Pinus contorta Douglas ex Loudon var. latifolia Engelm. ex S. Watson","variety",,,,,,"dbradley@battelleecology.org","sscherneck@battelleecology.org",
"2cca2551-dcb5-4819-ab06-1ec31bf61488","RMNP_043.basePlot.vst","2017-09-26","vst_RMNP_2017","D10","RMNP","RMNP_043","23",,,,,,"NEON.PLA.D10.RMNP.02331",,,"NEON.DOC.000987vE","JUCOD","Juniperus communis L. var. depressa Pursh","variety",,,,,,"dbradley@battelleecology.org","jmorris@battelleecology.org",
"bdd08fcb-a689-4f8c-810d-fa231613fce2","RMNP_043.basePlot.vst","2017-09-26","vst_RMNP_2017","D10","RMNP","RMNP_043","23",,"25",16.3,315.3,,"NEON.PLA.D10.RMNP.02313",,,"NEON.DOC.000987vE","PICOL","Pinus contorta Douglas ex Loudon var. latifolia Engelm. ex S. Watson","variety",,,,,,"dbradley@battelleecology.org","jmorris@battelleecology.org",
"ff353b42-8c16-413d-a13b-df5848b6776f","RMNP_043.basePlot.vst","2017-09-26","vst_RMNP_2017","D10","RMNP","RMNP_043","21",,"31",8.1,269.0,,"NEON.PLA.D10.RMNP.02126",,,"NEON.DOC.000987vE","PICOL","Pinus contorta Douglas ex Loudon var. latifolia Engelm. ex S. Watson","variety",,,,,,"dbradley@battelleecology.org","jmorris@battelleecology.org",
"71d7f493-8c3d-48b3-ac2a-c5b7baaa63f7","RMNP_043.basePlot.vst","2017-09-26","vst_RMNP_2017","D10","RMNP","RMNP_043","23",,"25",2.6,272.9,,"NEON.PLA.D10.RMNP.02305",,,"NEON.DOC.000987vE","PICOL","Pinus contorta Douglas ex Loudon var. latifolia Engelm. ex S. Watson","variety",,,,,,"dbradley@battelleecology.org","jmorris@battelleecology.org",
"cc8365d5-ba17-42fd-a979-fc54d3aada67","RMNP_043.basePlot.vst","2017-09-26","vst_RMNP_2017","D10","RMNP","RMNP_043","23",,"25",13.0,305.7,,"NEON.PLA.D10.RMNP.02310",,,"NEON.DOC.000987vE","PICOL","Pinus contorta Douglas ex Loudon var. latifolia Engelm. ex S. Watson","variety",,,,,,"dbradley@battelleecology.org","jmorris@battelleecology.org",
"7c1e22c8-bca7-4cf5-a92c-dae7a51b5cdc","RMNP_043.basePlot.vst","2017-09-26","vst_RMNP_2017","D10","RMNP","RMNP_043","21",,"21",15.3,63.0,,"NEON.PLA.D10.RMNP.02122",,,"NEON.DOC.000987vE","PICOL","Pinus contorta Douglas ex Loudon var. latifolia Engelm. ex S. Watson","variety",,,,,,"dbradley@battelleecology.org","nleder@battelleecology.org",
