uid,namedLocation,date,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,eventID,samplingProtocolVersion,treesPresent,treesAbsentList,shrubsPresent,shrubsAbsentList,lianasPresent,lianasAbsentList,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,remarks,measuredBy,recordedBy,dataQF
"b7281546-68cc-40d3-a6e2-a4757e14250e","MLBS_073.basePlot.vst","2017-10-02","D07","MLBS","MLBS_073","tower","deciduousForest",37.378011,-80.525919,"WGS84",20.2,541972.26,4136913.12,"17N",1173.2,0.2,"vst_MLBS_2017","NEON.DOC.000987vG","Y",,"Y",,"N",,"noneSelected","noneSelected",800,800,800,,"aferchaud@battelleecology.org","mcumberland@battelleecology.org",
"b9cda93f-0df5-4c9f-8ef1-efbc6fe04dc7","MLBS_066.basePlot.vst","2017-10-02","D07","MLBS","MLBS_066","tower","deciduousForest",37.376908,-80.525885,"WGS84",20.2,541975.88,4136790.76,"17N",1175.3,0.3,"vst_MLBS_2017","NEON.DOC.000987vG","Y",,"Y",,"N",,"noneSelected","noneSelected",800,800,800,,"aferchaud@battelleecology.org","mcumberland@battelleecology.org",
"7771ea17-ba85-49b0-8dc2-ba834fce74c6","MLBS_071.basePlot.vst","2017-10-02","D07","MLBS","MLBS_071","tower","deciduousForest",37.376632,-80.524178,"WGS84",20.2,542127.17,4136760.90,"17N",1172.6,0.2,"vst_MLBS_2017","NEON.DOC.000987vG","Y",,"Y",,"N",,"noneSelected","noneSelected",800,800,800,,"aferchaud@battelleecology.org","mcumberland@battelleecology.org",
"3f1789e8-67b0-4a34-bc7c-e90086c52bf6","MLBS_076.basePlot.vst","2017-10-03","D07","MLBS","MLBS_076","tower","deciduousForest",37.376386,-80.521186,"WGS84",20.3,542392.21,4136734.95,"17N",1172.0,0.3,"vst_MLBS_2017","NEON.DOC.000987vG","Y",,"Y",,"N",,"noneSelected","noneSelected",800,800,800,,"aferchaud@battelleecology.org","mcumberland@battelleecology.org",
"26314d00-eba9-45c8-9963-faad971662e8","MLBS_061.basePlot.vst","2017-10-04","D07","MLBS","MLBS_061","tower","deciduousForest",37.376621,-80.519800,"WGS84",20.2,542514.78,4136761.65,"17N",1170.0,0.3,"vst_MLBS_2017","NEON.DOC.000987vG","Y",,"Y",,"N",,"100","noneSelected",800,400,800,,"aferchaud@battelleecology.org","mcumberland@battelleecology.org",
"0c54e692-6343-401f-8e84-2205ad764a3c","MLBS_069.basePlot.vst","2017-10-05","D07","MLBS","MLBS_069","tower","deciduousForest",37.377731,-80.522844,"WGS84",20.2,542244.66,4136883.42,"17N",1171.9,0.3,"vst_MLBS_2017","NEON.DOC.000987vG","Y",,"Y",,"N",,"100","noneSelected",800,400,800,,"aferchaud@battelleecology.org","mcumberland@battelleecology.org",
"1adb9d1b-c4f3-487d-82b4-0d7d1d7be45b","MLBS_064.basePlot.vst","2017-10-05","D07","MLBS","MLBS_064","tower","deciduousForest",37.375560,-80.520162,"WGS84",20.2,542483.33,4136643.77,"17N",1179.4,0.2,"vst_MLBS_2017","NEON.DOC.000987vG","Y",,"Y",,"N",,"100","noneSelected",800,400,800,,"aferchaud@battelleecology.org","mcumberland@battelleecology.org",
"1ecf799a-1fb3-48f7-a2d5-0aab1d0c45bc","MLBS_063.basePlot.vst","2017-10-09","D07","MLBS","MLBS_063","tower","deciduousForest",37.377487,-80.527932,"WGS84",20.2,541794.33,4136854.09,"17N",1176.6,0.3,"vst_MLBS_2017","NEON.DOC.000987vG","Y",,"Y",,"N",,"100","noneSelected",800,400,800,,"lelmore@battelleecology.org","elaske@battelleecology.org",
"fea704db-43eb-4cc7-a4d3-7680f02f2fa7","MLBS_070.basePlot.vst","2017-10-09","D07","MLBS","MLBS_070","tower","deciduousForest",37.375569,-80.526578,"WGS84",20.2,541915.27,4136641.90,"17N",1168.6,0.3,"vst_MLBS_2017","NEON.DOC.000987vG","Y",,"Y",,"N",,"noneSelected","noneSelected",800,800,800,,"lelmore@battelleecology.org","elaske@battelleecology.org",
"23a18f09-a7af-4a89-93ad-dfdbe31b64f4","MLBS_072.basePlot.vst","2017-10-09","D07","MLBS","MLBS_072","tower","deciduousForest",37.375296,-80.525227,"WGS84",20.2,542035.04,4136612.22,"17N",1171.4,0.3,"vst_MLBS_2017","NEON.DOC.000987vG","Y",,"Y",,"N",,"noneSelected","noneSelected",800,800,800,,"lelmore@battelleecology.org","elaske@battelleecology.org",
"18eb8e22-0fb4-411d-be58-b78799ced097","MLBS_065.basePlot.vst","2017-10-09","D07","MLBS","MLBS_065","tower","deciduousForest",37.373413,-80.524934,"WGS84",20.2,542062.03,4136403.45,"17N",1166.4,0.2,"vst_MLBS_2017","NEON.DOC.000987vG","Y",,"Y",,"N",,"noneSelected","noneSelected",800,800,800,,"lelmore@battelleecology.org","elaske@battelleecology.org",
"fd75a356-28a8-41e0-9cd2-19fec3bb55e7","MLBS_068.basePlot.vst","2017-10-09","D07","MLBS","MLBS_068","tower","deciduousForest",37.375868,-80.528297,"WGS84",20.2,541762.91,4136674.31,"17N",1167.9,0.3,"vst_MLBS_2017","NEON.DOC.000987vG","Y",,"Y",,"N",,"100","noneSelected",800,400,800,,"lelmore@battelleecology.org","elaske@battelleecology.org",
"42b7fcea-8051-4844-b7a7-c99aef0a1a68","MLBS_062.basePlot.vst","2017-10-09","D07","MLBS","MLBS_062","tower","deciduousForest",37.374217,-80.526231,"WGS84",20.3,541946.75,4136492.07,"17N",1175.5,0.6,"vst_MLBS_2017","NEON.DOC.000987vG","Y",,"Y",,"N",,"100","noneSelected",800,400,800,,"lelmore@battelleecology.org","elaske@battelleecology.org",
"fa3063c0-3c74-4808-af09-2fbf502b2166","MLBS_075.basePlot.vst","2017-10-09","D07","MLBS","MLBS_075","tower","deciduousForest",37.373399,-80.523552,"WGS84",20.1,542184.40,4136402.51,"17N",1171.7,0.1,"vst_MLBS_2017","NEON.DOC.000987vG","Y",,"Y",,"N",,"100","noneSelected",800,400,800,,"lelmore@battelleecology.org","elaske@battelleecology.org",
"1cbf9ab2-5065-4ff1-a9dc-2a33f316a049","MLBS_074.basePlot.vst","2017-10-24","D07","MLBS","MLBS_074","tower","deciduousForest",37.377761,-80.524585,"WGS84",20.1,542090.50,4136885.97,"17N",1174.2,0.2,"vst_MLBS_2017","NEON.DOC.000987vG","Y",,"Y",,"N",,"noneSelected","noneSelected",800,800,800,,"aferchaud@battelleecology.org","mcumberland@battelleecology.org",
"1ca1d1c5-bd62-4c10-ab4c-a1091eaef713","MLBS_067.basePlot.vst","2017-10-24","D07","MLBS","MLBS_067","tower","deciduousForest",37.378560,-80.527270,"WGS84",20.2,541852.34,4136973.42,"17N",1171.6,0.4,"vst_MLBS_2017","NEON.DOC.000987vG","Y",,"Y",,"N",,"100","noneSelected",800,400,800,,"aferchaud@battelleecology.org","mcumberland@battelleecology.org",
