uid,namedLocation,date,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,eventID,samplingProtocolVersion,treesPresent,treesAbsentList,shrubsPresent,shrubsAbsentList,lianasPresent,lianasAbsentList,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,remarks,measuredBy,recordedBy,dataQF
"78aa7918-0ee1-42ac-b48b-02bdc05e743e","OSBS_040.basePlot.vst","2017-12-04","D03","OSBS","OSBS_040","tower","evergreenForest",29.688978,-81.989556,"WGS84",20.1,404260.97,3284731.92,"17N",42.9,0.2,"vst_OSBS_2017","NEON.DOC.000987vG","Y","presentInAll","N",,"N",,"noneSelected","noneSelected",800,800,800,,"sknowlden@battelleecology.org","jmiller@battelleecology.org",
"4bc89d4b-2db2-4b0d-8e8c-1b31f7a2c274","OSBS_026.basePlot.vst","2017-12-05","D03","OSBS","OSBS_026","tower","evergreenForest",29.693584,-81.992057,"WGS84",20.1,404023.36,3285244.39,"17N",43.0,0.1,"vst_OSBS_2017","NEON.DOC.000987vE","Y","presentInAll","Y","21","N",,"noneSelected","noneSelected",800,800,800,,"ebaldwin@battelleecology.org","smatlick@battelleecology.org",
"a90e976c-a797-4dca-bd0f-8ec75f742455","OSBS_030.basePlot.vst","2017-12-06","D03","OSBS","OSBS_030","tower","evergreenForest",29.689424,-81.997606,"WGS84",20.1,403482.52,3284788.03,"17N",46.1,0.1,"vst_OSBS_2017","NEON.DOC.000987vG","Y","presentInAll","Y","presentInAll","N",,"noneSelected","noneSelected",800,800,800,,"sknowlden@battelleecology.org","jmiller@battelleecology.org",
"fba671fa-d443-4bd3-be54-607cdee2c717","OSBS_028.basePlot.vst","2017-12-07","D03","OSBS","OSBS_028","tower","evergreenForest",29.685933,-81.995718,"WGS84",20.1,403661.86,3284399.61,"17N",45.0,0.1,"vst_OSBS_2017","NEON.DOC.000987vG","Y",,"Y",,"N",,"100","noneSelected",800,400,800,,"sknowlden@battelleecology.org","jmiller@battelleecology.org",
"1ef18307-6dde-4a4d-9344-cb99fa5eef8b","OSBS_027.basePlot.vst","2017-12-07","D03","OSBS","OSBS_027","tower","evergreenForest",29.691969,-81.992063,"WGS84",20.1,404021.25,3285065.43,"17N",41.3,0.2,"vst_OSBS_2017","NEON.DOC.000987vG","Y","presentInAll","Y",,"N",,"noneSelected","noneSelected",800,800,800,,"sknowlden@battelleecology.org","jmiller@battelleecology.org",
"b42b242f-ff0a-4a1c-9c59-6db3ddc8d61d","OSBS_029.basePlot.vst","2017-12-12","D03","OSBS","OSBS_029","tower","evergreenForest",29.692504,-81.989891,"WGS84",20.1,404231.90,3285122.92,"17N",44.3,0.1,"vst_OSBS_2017","NEON.DOC.000987vG","Y","presentInAll","Y",,"N",,"noneSelected","noneSelected",800,800,800,,"sknowlden@battelleecology.org","jmiller@battelleecology.org",
"b6e207c4-5925-4cd0-a11d-f5b6fe5a1fac","OSBS_031.basePlot.vst","2017-12-13","D03","OSBS","OSBS_031","tower","evergreenForest",29.688968,-81.991105,"WGS84",,404111.08,3284732.09,"17N",49.2,,"vst_OSBS_2017","NEON.DOC.000987vG","Y","presentInAll","Y","23_4","N",,"100","noneSelected",800,400,800,,"sknowlden@battelleecology.org","jmiller@battelleecology.org",
"0391b051-3a9f-467f-bf51-0e4518cb1165","OSBS_038.basePlot.vst","2017-12-18","D03","OSBS","OSBS_038","tower","evergreenForest",29.690777,-81.997627,"WGS84",20.2,403481.78,3284937.98,"17N",46.0,0.2,"vst_OSBS_2017","NEON.DOC.000987vG","Y","presentInAll","Y","presentInAll","N",,"100","noneSelected",800,400,800,,"ebaldwin@battelleecology.org","jmiller@battelleecology.org",
"c00323cb-d6bc-4ae2-82bb-1ba851739cae","OSBS_037.basePlot.vst","2017-12-18","D03","OSBS","OSBS_037","tower","evergreenForest",29.686474,-81.994473,"WGS84",20.1,403782.84,3284458.53,"17N",45.3,0.1,"vst_OSBS_2017","NEON.DOC.000987vG","Y","presentInAll","Y","presentInAll","N",,"100","noneSelected",800,400,800,,"dbyerley@field-ops.org","jlewis@battelleecology.org",
"1de8ad00-09c2-4cfb-b3c7-3569a76595b7","OSBS_036.basePlot.vst","2017-12-18","D03","OSBS","OSBS_036","tower","evergreenForest",29.691429,-81.990504,"WGS84",20.2,404171.57,3285004.30,"17N",43.9,0.2,"vst_OSBS_2017","NEON.DOC.000987vG","Y","presentInAll","Y","presentInAll","N",,"noneSelected","noneSelected",800,800,800,,"sknowlden@battelleecology.org","jmiller@battelleecology.org",
